,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked
0,0.0,3,Mr,male,22.0,1,0,7.25,S
1,1.0,1,Mrs,female,38.0,1,0,71.2833,C
2,1.0,3,Miss,female,26.0,0,0,7.925,S
3,1.0,1,Mrs,female,35.0,1,0,53.1,S
4,0.0,3,Mr,male,35.0,0,0,8.05,S
5,0.0,3,Mr,male,28.0,0,0,8.4583,Q
6,0.0,1,Mr,male,54.0,0,0,51.8625,S
7,0.0,3,Master,male,2.0,3,1,21.075,S
8,1.0,3,Mrs,female,27.0,0,2,11.1333,S
9,1.0,2,Mrs,female,14.0,1,0,30.0708,C
10,1.0,3,Miss,female,4.0,1,1,16.7,S
11,1.0,1,Miss,female,58.0,0,0,26.55,S
12,0.0,3,Mr,male,20.0,0,0,8.05,S
13,0.0,3,Mr,male,39.0,1,5,31.275,S
14,0.0,3,Miss,female,14.0,0,0,7.8542,S
15,1.0,2,Mrs,female,55.0,0,0,16.0,S
16,0.0,3,Master,male,2.0,4,1,29.125,Q
17,1.0,2,Mr,male,28.0,0,0,13.0,S
18,0.0,3,Mrs,female,31.0,1,0,18.0,S
19,1.0,3,Mrs,female,28.0,0,0,7.225,C
20,0.0,2,Mr,male,35.0,0,0,26.0,S
21,1.0,2,Mr,male,34.0,0,0,13.0,S
22,1.0,3,Miss,female,15.0,0,0,8.0292,Q
23,1.0,1,Mr,male,28.0,0,0,35.5,S
24,0.0,3,Miss,female,8.0,3,1,21.075,S
25,1.0,3,Mrs,female,38.0,1,5,31.3875,S
26,0.0,3,Mr,male,28.0,0,0,7.225,C
27,0.0,1,Mr,male,19.0,3,2,263.0,S
28,1.0,3,Miss,female,28.0,0,0,7.8792,Q
29,0.0,3,Mr,male,28.0,0,0,7.8958,S
30,0.0,1,Don,male,40.0,0,0,27.7208,C
31,1.0,1,Mrs,female,28.0,1,0,146.5208,C
32,1.0,3,Miss,female,28.0,0,0,7.75,Q
33,0.0,2,Mr,male,66.0,0,0,10.5,S
34,0.0,1,Mr,male,28.0,1,0,82.1708,C
35,0.0,1,Mr,male,42.0,1,0,52.0,S
36,1.0,3,Mr,male,28.0,0,0,7.2292,C
37,0.0,3,Mr,male,21.0,0,0,8.05,S
38,0.0,3,Miss,female,18.0,2,0,18.0,S
39,1.0,3,Miss,female,14.0,1,0,11.2417,C
40,0.0,3,Mrs,female,40.0,1,0,9.475,S
41,0.0,2,Mrs,female,27.0,1,0,21.0,S
42,0.0,3,Mr,male,28.0,0,0,7.8958,C
43,1.0,2,Miss,female,3.0,1,2,41.5792,C
44,1.0,3,Miss,female,19.0,0,0,7.8792,Q
45,0.0,3,Mr,male,28.0,0,0,8.05,S
46,0.0,3,Mr,male,28.0,1,0,15.5,Q
47,0.0,3,Mr,male,28.0,2,0,21.6792,C
48,0.0,3,Mrs,female,18.0,1,0,17.8,S
49,0.0,3,Master,male,7.0,4,1,39.6875,S
50,0.0,3,Mr,male,21.0,0,0,7.8,S
51,1.0,1,Mrs,female,49.0,1,0,76.7292,C
52,1.0,2,Mrs,female,29.0,1,0,26.0,S
53,0.0,1,Mr,male,65.0,0,1,61.9792,C
54,1.0,2,Miss,female,21.0,0,0,10.5,S
55,0.0,3,Mr,male,28.5,0,0,7.2292,C
56,1.0,2,Miss,female,5.0,1,2,27.75,S
57,0.0,3,Master,male,11.0,5,2,46.9,S
58,0.0,3,Mr,male,22.0,0,0,7.2292,C
59,1.0,1,Miss,female,38.0,0,0,80.0,S
60,0.0,1,Mr,male,45.0,1,0,83.475,S
61,0.0,3,Master,male,4.0,3,2,27.9,S
62,0.0,1,Mr,male,28.0,0,0,27.7208,C
63,1.0,3,Master,male,28.0,1,1,15.2458,C
64,1.0,2,Mrs,female,29.0,0,0,10.5,S
65,0.0,3,Mr,male,19.0,0,0,8.1583,S
66,1.0,3,Miss,female,17.0,4,2,7.925,S
67,0.0,3,Mr,male,26.0,2,0,8.6625,S
68,0.0,2,Mr,male,32.0,0,0,10.5,S
69,0.0,3,Miss,female,16.0,5,2,46.9,S
70,0.0,2,Mr,male,21.0,0,0,73.5,S
71,0.0,3,Mr,male,26.0,1,0,14.4542,C
72,1.0,3,Mr,male,32.0,0,0,56.4958,S
73,0.0,3,Mr,male,25.0,0,0,7.65,S
74,1.0,2,Master,male,0.83,0,2,29.0,S
75,1.0,3,Miss,female,30.0,0,0,12.475,S
76,0.0,3,Mr,male,22.0,0,0,9.0,S
77,1.0,3,Mr,male,29.0,0,0,9.5,S
78,1.0,3,Miss,female,28.0,0,0,7.7875,Q
79,0.0,1,Mr,male,28.0,0,0,47.1,S
80,1.0,2,Miss,female,17.0,0,0,10.5,S
81,1.0,3,Mrs,female,33.0,3,0,15.85,S
82,0.0,3,Mr,male,16.0,1,3,34.375,S
83,1.0,1,Miss,female,23.0,3,2,263.0,S
84,0.0,3,Mr,male,24.0,0,0,8.05,S
85,0.0,3,Mr,male,29.0,0,0,8.05,S
86,0.0,3,Mr,male,20.0,0,0,7.8542,S
87,0.0,1,Mr,male,46.0,1,0,61.175,S
88,0.0,3,Mr,male,26.0,1,2,20.575,S
89,0.0,3,Mr,male,59.0,0,0,7.25,S
90,0.0,1,Mr,male,71.0,0,0,34.6542,C
91,1.0,1,Mr,male,23.0,0,1,63.3583,C
92,1.0,2,Mrs,female,34.0,0,1,23.0,S
93,0.0,2,Mr,male,34.0,1,0,26.0,S
94,0.0,3,Miss,female,28.0,0,0,7.8958,S
95,0.0,1,Mr,male,21.0,0,1,77.2875,S
96,0.0,3,Mr,male,33.0,0,0,8.6542,S
97,0.0,3,Mr,male,37.0,2,0,7.925,S
98,1.0,3,Miss,female,21.0,0,0,7.65,S
99,1.0,3,Mr,male,28.0,0,0,7.775,S
100,0.0,3,Mr,male,38.0,0,0,7.8958,S
101,1.0,3,Miss,female,28.0,1,0,24.15,Q
102,0.0,1,Mr,male,47.0,0,0,52.0,S
103,0.0,3,Miss,female,14.5,1,0,14.4542,C
104,0.0,3,Mr,male,22.0,0,0,8.05,S
105,0.0,3,Miss,female,20.0,1,0,9.825,S
106,0.0,3,Miss,female,17.0,0,0,14.4583,C
107,0.0,3,Mr,male,21.0,0,0,7.925,S
108,0.0,3,Mr,male,70.5,0,0,7.75,Q
109,0.0,2,Mr,male,29.0,1,0,21.0,S
110,0.0,1,Mr,male,24.0,0,1,247.5208,C
111,0.0,3,Miss,female,2.0,4,2,31.275,S
112,0.0,2,Mr,male,21.0,2,0,73.5,S
113,0.0,2,Mr,male,32.5,1,0,30.0708,C
114,1.0,2,Miss,female,32.5,0,0,13.0,S
115,0.0,1,Mr,male,54.0,0,1,77.2875,S
116,1.0,3,Master,male,12.0,1,0,11.2417,C
